,Company,Location
1,4i Tech,Taipei
2,Adolf Würth GmbH & Co. KG Taiwan Branch,Kaohsiung
3,AES motomation Taiwan Ltd.,Taichung
4,AGS Four Winds Taiwan Ltd.,Taipei
5,"AIXTRON Taiwan Co., Ltd.",Hsinchu
6,Allianz Taiwan Life Insurance Company Ltd.,Taipei
7,ALLOD Asia Ltd.,Taichung
8,Arburg GmbH + Co KG Taiwan Branch,Taichung
9,"Argox Information Co.,Ltd.",New Taipei City
10,"ASYS Automatic Systems Co., Ltd.",Taoyuan
11,atg Luther & Maelzer Asia Ltd.,Taoyuan
12,Atotech Taiwan Ltd.,Taipei
13,Audi Volkswagen Taiwan,Taipei
14,AUTOBLOK COMPANY LIMITED (SMW-AUTOBLOK TAIWAN),Taichung
15,"B. Braun Taiwan Co., Ltd.",Taipei
16,Balluff Taiwan Ltd.,Taichung
17,BASF Taiwan Ltd.,Taipei
18,Bayer Taiwan Company Ltd.,Taipei
19,Becker Electronics Taiwan Ltd.,Taoyuan
20,"Beckhoff Automation Co., Ltd",Taichung
21,Boehringer Ingelheim Taiwan Ltd.,Taipei
22,"Bosch Rexroth Co., Ltd.",Taoyuan
23,Bremen invest,Taipei
24,"Brenntag Taiwan Co., Ltd",Taipei
25,BSH Home Appliances,Taipei
26,Burkert Taiwan Ltd,Taipei
27,Busch Taiwan Corp.,Hukou Township
28,"cab Technology Co., Ltd.",New Taipei City
29,"CARL ZEISS CO., LTD",
30,"Celinius Co., Ltd.",Taipei
31,centrotherm Asia Pte. Ltd. Taiwan Branch,Zhubei City
32,ChineseContext Translation and Interpretation Services,Taipei
33,Chuwa Chemical Group Corp.,Taichung
34,Commerzbank AG Taipei Representative Office,Taipei
35,Covestro (Taiwan) Ltd.,Taipei
36,Crown Relocations,Taipei
37,Cvilux,New Taipei City
38,DAS Asia Limited Taiwan Branch,Hsinchu
39,DEinternational Taiwan Ltd.,Taipei
40,"DEKRA Testing and Certification Co., Ltd.",New Taipei City
41,Dennemeyer Group,Taipei
42,Deutsche Bank AG Taipei Branch,Taipei
43,Deutsche Schule Taipei / Taipei European School - German Section,Taipei
44,Deutsche Windtechnik Co. Ltd.,Taipei
45,DHL EXPRESS TAIWAN,Taipei
46,DHL Global Forwarding (Singapore) Pte Ltd Taiwan Branch,Taipei
47,DHL Supply Chain Taiwan,New Taipei City
48,Dirk Heindoerfer Photography,Taichung
49,"Dr. Gollek Co., Ltd.",Kaohsiung
50,"Draeger Safety Taiwan Co., Ltd.",New Taipei City
51,Dräger Medical Taiwan Ltd.,New Taipei City
52,"EFBE Co., Ltd.",Taichung
53,Eiger,Taipei
54,Eikelberg Consultancy Ltd.,Taipei
55,EJOT Baubefestigungen GmbH Taiwan Branch,Kaohsiung
56,EMV Testhaus GmbH Branch Office Taiwan,Taoyuan
57,ENERCON Taiwan Ltd.,Taichung
58,Engycon Ltd.,Taipei
59,EPEA Intl. Umweltforschung GmbH Taiwan Branch,Taipei
60,"Euler Hermes SA, Taiwan Branch",Taipei
61,Evonik Taiwan Ltd.,Taipei
62,Feinmetall-OCT Ltd.,Zhubei City
63,Fenix Biotechnology Ltd.,New Taipei City
64,"Fichtner Pacific Engineers, Inc.",Taipei
65,foodpanda,Taipei
66,Formosan Business Support Co.Ltd.,Kaohsiung
67,Frech Taiwan Ltd.,New Taipei City
68,Fresenius Kabi Taiwan Ltd.,Taipei
